nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
1,1,200,True,50.2086,71.3351
1,1,200,False,49.9289,70.9263
1,3,200,True,23.6194,98.4296
1,3,200,False,21.7679,90.4694
3,1,200,True,86.7047,35.5505
3,1,200,False,84.4959,34.7241
1,7,200,True,12.2955,109.779
1,7,200,False,10.3956,92.746
7,1,200,True,109.086,13.7044
7,1,200,False,107.956,13.0438
1,15,200,True,6.41959,115.483
1,15,200,False,4.97767,88.9978
15,1,200,True,118.098,5.09001
15,1,200,False,117.482,5.73534
1,23,200,True,4.19944,117.559
1,23,200,False,3.04472,85.7113
23,1,200,True,119.887,3.47148
23,1,200,False,120.746,3.78933
