nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.109
0,5,200,False,0.0,108.746
1,4,200,True,18.9882,103.089
1,4,200,False,17.0781,92.0886
2,3,200,True,41.6405,80.49
2,3,200,False,37.4627,73.3054
3,2,200,True,67.3699,54.871
3,2,200,False,61.4845,52.7546
4,1,200,True,95.8212,26.6295
4,1,200,False,94.5497,24.9358
5,0,200,True,122.731,0.0
5,0,200,False,127.545,0.0
0,10,200,True,0.0,122.382
0,10,200,False,0.0,100.18
2,8,200,True,21.3391,101.059
2,8,200,False,17.4182,83.6007
4,6,200,True,45.7155,76.7732
4,6,200,False,38.5866,64.9792
6,4,200,True,72.1858,50.5578
6,4,200,False,64.2518,43.9872
8,2,200,True,99.8822,23.204
8,2,200,False,94.1348,22.0069
10,0,200,True,123.42,0.0
10,0,200,False,128.461,0.0
0,20,200,True,0.0,121.811
0,20,200,False,0.0,90.9182
4,16,200,True,21.8493,99.9995
4,16,200,False,16.4551,75.3762
8,12,200,True,46.8231,75.1911
8,12,200,False,35.3301,58.9219
12,8,200,True,74.53,47.8055
12,8,200,False,62.268,38.4899
16,4,200,True,102.284,20.5675
16,4,200,False,93.8412,18.705
20,0,200,True,123.435,0.0
20,0,200,False,128.36,0.0
0,40,200,True,0.0,121.47
0,40,200,False,0.0,81.3339
8,32,200,True,17.5751,103.951
8,32,200,False,11.4895,70.9814
16,24,200,True,41.0531,80.6135
16,24,200,False,27.6973,56.944
24,16,200,True,68.3532,53.6541
24,16,200,False,50.339,39.1451
32,8,200,True,98.6353,24.126
32,8,200,False,86.2436,18.764
40,0,200,True,123.657,0.0
40,0,200,False,128.582,0.0

