nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,14.5355,107.539
1,4,200,False,12.6026,97.0831
2,3,200,True,33.0464,88.9566
2,3,200,False,29.729,81.7992
3,2,200,True,54.9999,66.9228
3,2,200,False,54.0963,60.2504
4,1,200,True,82.7267,38.9292
4,1,200,False,86.0444,32.9848
5,0,200,True,122.557,0.0
5,0,200,False,127.445,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,12.1448,110.239
2,8,200,False,9.09714,92.7372
4,6,200,True,27.6911,94.7187
4,6,200,False,24.0594,79.9748
6,4,200,True,51.194,71.1528
6,4,200,False,46.5467,60.8425
8,2,200,True,79.8352,42.3917
8,2,200,False,80.3858,34.3763
10,0,200,True,123.104,0.0
10,0,200,False,128.162,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,4.57562,117.332
4,16,200,False,2.14669,91.5652
8,12,200,True,17.2571,104.715
8,12,200,False,11.1099,84.8523
12,8,200,True,40.1662,81.8329
12,8,200,False,32.2653,67.197
16,4,200,True,72.4769,49.508
16,4,200,False,67.6358,40.5625
20,0,200,True,122.4,0.0
20,0,200,False,128.095,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,0.148232,121.518
8,32,200,False,0.111573,84.4306
16,24,200,True,0.583365,121.257
16,24,200,False,0.508275,87.8366
24,16,200,True,12.748,109.251
24,16,200,False,8.14231,84.3067
32,8,200,True,52.8747,69.1999
32,8,200,False,44.5616,53.6882
40,0,200,True,121.959,0.0
40,0,200,False,128.359,0.0
