nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,1,0.0,122.109
0,5,200,0,0.0,108.746
1,4,200,1,22.3825,99.7204
1,4,200,0,19.8089,89.3516
2,3,200,1,46.9819,75.2096
2,3,200,0,43.3111,67.6083
3,2,200,1,73.4047,48.9519
3,2,200,0,68.5881,45.787
4,1,200,1,99.7313,22.8598
4,1,200,0,97.566,22.3545
5,0,200,1,122.905,0.0
5,0,200,0,127.807,0.0
0,10,200,1,0.0,122.382
0,10,200,0,0.0,100.18
2,8,200,1,28.5479,93.8516
2,8,200,0,23.2303,77.103
4,6,200,1,60.4571,62.1262
4,6,200,0,50.2288,52.9525
6,4,200,1,87.9944,34.9311
6,4,200,0,78.7703,30.9851
8,2,200,1,110.653,12.6175
8,2,200,0,107.296,11.9389
10,0,200,1,123.706,0.0
10,0,200,0,128.628,0.0
0,20,200,1,0.0,121.811
0,20,200,0,0.0,90.9182
4,16,200,1,38.5402,83.3205
4,16,200,0,28.5566,62.6864
8,12,200,1,76.0508,46.196
8,12,200,0,60.5634,36.369
12,8,200,1,102.902,19.9172
12,8,200,0,90.3267,17.5327
16,4,200,1,117.361,5.95287
16,4,200,0,113.197,5.99912
20,0,200,1,123.633,0.0
20,0,200,0,128.559,0.0
0,40,200,1,0.0,121.47
0,40,200,0,0.0,81.3339
8,32,200,1,49.7629,71.7232
8,32,200,0,32.7279,47.9494
16,24,200,1,89.6539,32.4437
16,24,200,0,66.7947,23.274
24,16,200,1,110.553,12.3808
24,16,200,0,94.5817,9.90516
32,8,200,1,119.969,3.55518
32,8,200,0,114.735,3.4042
40,0,200,1,123.867,0.0
40,0,200,0,128.801,0.0
