nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.077
0,5,200,False,0.0,108.749
1,4,200,True,18.9543,103.097
1,4,200,False,16.7839,92.1332
2,3,200,True,39.7896,82.2282
2,3,200,False,37.0481,74.0039
3,2,200,True,61.3575,60.5726
3,2,200,False,62.9706,50.8331
4,1,200,True,87.1986,34.4954
4,1,200,False,92.5062,26.798
5,0,200,True,122.731,0.0
5,0,200,False,127.551,0.0
0,10,200,True,0.0,122.362
0,10,200,False,0.0,100.214
2,8,200,True,23.3383,99.0219
2,8,200,False,20.0105,80.5384
4,6,200,True,46.3002,76.0415
4,6,200,False,43.846,59.5981
6,4,200,True,70.541,51.6928
6,4,200,False,72.0726,37.0814
8,2,200,True,94.5435,27.5305
8,2,200,False,100.236,17.3361
10,0,200,True,123.543,0.0
10,0,200,False,128.476,0.0
0,20,200,True,0.0,121.834
0,20,200,False,0.0,91.094
4,16,200,True,29.9718,91.8229
4,16,200,False,24.3127,66.5733
8,12,200,True,58.473,63.2695
8,12,200,False,52.4121,43.8545
12,8,200,True,83.3599,38.2892
12,8,200,False,82.2839,23.3189
16,4,200,True,104.93,16.5548
16,4,200,False,109.611,8.24261
20,0,200,True,121.386,0.0
20,0,200,False,128.465,0.0
0,40,200,True,0.0,121.506
0,40,200,False,0.0,80.7314
8,32,200,True,39.4642,81.9197
8,32,200,False,28.5849,51.9408
16,24,200,True,71.1634,50.0319
16,24,200,False,57.8927,29.6907
24,16,200,True,94.1776,26.8029
24,16,200,False,88.6009,13.4383
32,8,200,True,109.265,11.5262
32,8,200,False,112.667,4.40092
40,0,200,True,120.47,0.0
40,0,200,False,128.724,0.0
