nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,24.8485,97.2306
1,4,200,False,21.6846,87.291
2,3,200,True,48.3357,73.716
2,3,200,False,46.5403,64.4233
3,2,200,True,70.912,51.0176
3,2,200,False,72.6885,42.224
4,1,200,True,94.9006,26.8258
4,1,200,False,100.683,19.9028
5,0,200,True,122.99,0.0
5,0,200,False,127.854,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,26.377,95.9974
2,8,200,False,21.6809,78.7003
4,6,200,True,51.2675,71.0435
4,6,200,False,48.2298,55.1231
6,4,200,True,74.7517,47.4796
6,4,200,False,73.7372,34.8987
8,2,200,True,98.7204,23.4021
8,2,200,False,103.785,14.271
10,0,200,True,123.563,0.0
10,0,200,False,128.545,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,27.4973,94.3141
4,16,200,False,21.4411,69.8811
8,12,200,True,52.9442,68.8298
8,12,200,False,45.2764,49.6406
12,8,200,True,75.1299,46.6212
12,8,200,False,72.4601,29.889
16,4,200,True,99.8649,21.7913
16,4,200,False,98.4646,14.9559
20,0,200,True,121.916,0.0
20,0,200,False,128.386,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,22.3759,99.1236
8,32,200,False,14.8094,67.1488
16,24,200,True,45.8412,75.6797
16,24,200,False,32.8412,50.8548
24,16,200,True,69.2995,52.2078
24,16,200,False,55.6555,33.8179
32,8,200,True,96.8888,24.6291
32,8,200,False,90.0584,15.8646
40,0,200,True,121.495,0.0
40,0,200,False,128.581,0.0
