nDbWifi,nEbWifi,simulationTime,enableRts,offeredRate_bps,offeredRate_Mbps,throughputBSS_DB,throughputBSS_EB
0,5,200,True,1000000,1.0,0.0,5.03007
0,5,200,True,5000000,5.0,0.0,25.1506
0,5,200,True,9000000,9.0,0.0,45.2711
0,5,200,True,13000000,13.0,0.0,65.3902
0,5,200,True,17000000,17.0,0.0,85.5099
0,5,200,True,21000000,21.0,0.0,105.619
0,5,200,True,25000000,25.0,0.0,120.799
0,5,200,True,29000000,29.0,0.0,122.075
0,5,200,False,1000000,1.0,0.0,5.03007
0,5,200,False,5000000,5.0,0.0,25.1506
0,5,200,False,9000000,9.0,0.0,45.2708
0,5,200,False,13000000,13.0,0.0,65.3954
0,5,200,False,17000000,17.0,0.0,85.5037
0,5,200,False,21000000,21.0,0.0,104.896
0,5,200,False,25000000,25.0,0.0,108.571
0,5,200,False,29000000,29.0,0.0,108.625
1,4,200,True,1000000,1.0,1.00599,4.02408
1,4,200,True,5000000,5.0,5.03007,20.1205
1,4,200,True,9000000,9.0,9.05415,36.2172
1,4,200,True,13000000,13.0,13.0783,52.3125
1,4,200,True,17000000,17.0,17.1025,68.4099
1,4,200,True,21000000,21.0,21.127,84.4965
1,4,200,True,25000000,25.0,23.9039,97.161
1,4,200,True,29000000,29.0,23.4843,98.5932
1,4,200,False,1000000,1.0,1.00599,4.02408
1,4,200,False,5000000,5.0,5.03007,20.1205
1,4,200,False,9000000,9.0,9.05422,36.2167
1,4,200,False,13000000,13.0,13.0784,52.3136
1,4,200,False,17000000,17.0,17.1033,68.4079
1,4,200,False,21000000,21.0,21.1087,83.8751
1,4,200,False,25000000,25.0,20.8769,87.8846
1,4,200,False,29000000,29.0,20.8029,88.0498
2,3,200,True,1000000,1.0,2.01204,3.01803
2,3,200,True,5000000,5.0,10.0602,15.0904
2,3,200,True,9000000,9.0,18.1085,27.1634
2,3,200,True,13000000,13.0,26.1568,39.2348
2,3,200,True,17000000,17.0,34.2046,51.3058
2,3,200,True,21000000,21.0,42.2511,63.3954
2,3,200,True,25000000,25.0,49.627,71.7093
2,3,200,True,29000000,29.0,49.5611,72.6112
2,3,200,False,1000000,1.0,2.01204,3.01803
2,3,200,False,5000000,5.0,10.0602,15.0903
2,3,200,False,9000000,9.0,18.1085,27.1627
2,3,200,False,13000000,13.0,26.1572,39.2337
2,3,200,False,17000000,17.0,34.2051,51.3067
2,3,200,False,21000000,21.0,42.246,63.0899
2,3,200,False,25000000,25.0,44.5925,66.3539
2,3,200,False,29000000,29.0,44.8443,66.1663
3,2,200,True,1000000,1.0,3.0181,2.01197
3,2,200,True,5000000,5.0,15.0903,10.0603
3,2,200,True,9000000,9.0,27.1627,18.1084
3,2,200,True,13000000,13.0,39.2348,26.1569
3,2,200,True,17000000,17.0,51.3073,34.2026
3,2,200,True,21000000,21.0,63.3812,42.2376
3,2,200,True,25000000,25.0,74.7455,46.901
3,2,200,True,29000000,29.0,76.3132,46.0649
3,2,200,False,1000000,1.0,3.0181,2.01197
3,2,200,False,5000000,5.0,15.0903,10.0602
3,2,200,False,9000000,9.0,27.1627,18.1085
3,2,200,False,13000000,13.0,39.2348,26.1597
3,2,200,False,17000000,17.0,51.3092,34.2016
3,2,200,False,21000000,21.0,63.376,42.0266
3,2,200,False,25000000,25.0,70.6082,43.9305
3,2,200,False,29000000,29.0,71.2869,43.6454
4,1,200,True,1000000,1.0,4.02408,1.00599
4,1,200,True,5000000,5.0,20.1205,5.03014
4,1,200,True,9000000,9.0,36.2167,9.0545
4,1,200,True,13000000,13.0,52.3131,13.0783
4,1,200,True,17000000,17.0,68.4097,17.1025
4,1,200,True,21000000,21.0,84.5072,21.1063
4,1,200,True,25000000,25.0,100.193,21.7212
4,1,200,True,29000000,29.0,100.652,21.9844
4,1,200,False,1000000,1.0,4.02408,1.00599
4,1,200,False,5000000,5.0,20.1204,5.03014
4,1,200,False,9000000,9.0,36.2168,9.05422
4,1,200,False,13000000,13.0,52.3132,13.0784
4,1,200,False,17000000,17.0,68.4098,17.1199
4,1,200,False,21000000,21.0,84.4952,21.0432
4,1,200,False,25000000,25.0,98.9268,21.2455
4,1,200,False,29000000,29.0,99.307,21.053
5,0,200,True,1000000,1.0,5.03007,0.0
5,0,200,True,5000000,5.0,25.1506,0.0
5,0,200,True,9000000,9.0,45.2711,0.0
5,0,200,True,13000000,13.0,65.3917,0.0
5,0,200,True,17000000,17.0,85.5119,0.0
5,0,200,True,21000000,21.0,105.63,0.0
5,0,200,True,25000000,25.0,122.905,0.0
5,0,200,True,29000000,29.0,122.905,0.0
5,0,200,False,1000000,1.0,5.03007,0.0
5,0,200,False,5000000,5.0,25.1505,0.0
5,0,200,False,9000000,9.0,45.2711,0.0
5,0,200,False,13000000,13.0,65.3926,0.0
5,0,200,False,17000000,17.0,85.5138,0.0
5,0,200,False,21000000,21.0,105.632,0.0
5,0,200,False,25000000,25.0,125.754,0.0
5,0,200,False,29000000,29.0,127.807,0.0
