nDbWifi,nEbWifi,simulationTime,enableRts,offeredRate_bps,offeredRate_Mbps,throughputBSS_DB,throughputBSS_EB,throughputDbPerSta_Mbps,throughputEbPerSta_Mbps,ppsDbPerSta,ppsEbPerSta,intervalDb_us,intervalEb_us
0,5,200,True,1000000,1.0,0.0,5.03007,,1.006,,86.7,,11530.7
0,5,200,True,5000000,5.0,0.0,25.1506,,5.03,,433.6,,2306.1
0,5,200,True,9000000,9.0,0.0,45.2711,,9.054,,780.5,,1281.2
0,5,200,True,13000000,13.0,0.0,65.3902,,13.078,,1127.4,,887.0
0,5,200,True,17000000,17.0,0.0,85.5099,,17.102,,1474.3,,678.3
0,5,200,True,21000000,21.0,0.0,105.619,,21.124,,1821.0,,549.1
0,5,200,True,25000000,25.0,0.0,120.799,,24.16,,2082.7,,480.1
0,5,200,True,29000000,29.0,0.0,122.075,,24.415,,2104.7,,475.1
0,5,200,False,1000000,1.0,0.0,5.03007,,1.006,,86.7,,11530.7
0,5,200,False,5000000,5.0,0.0,25.1506,,5.03,,433.6,,2306.1
0,5,200,False,9000000,9.0,0.0,45.2708,,9.054,,780.5,,1281.2
0,5,200,False,13000000,13.0,0.0,65.3954,,13.079,,1127.5,,886.9
0,5,200,False,17000000,17.0,0.0,85.5037,,17.101,,1474.2,,678.3
0,5,200,False,21000000,21.0,0.0,104.896,,20.979,,1808.6,,552.9
0,5,200,False,25000000,25.0,0.0,108.571,,21.714,,1871.9,,534.2
0,5,200,False,29000000,29.0,0.0,108.625,,21.725,,1872.8,,533.9
1,4,200,True,1000000,1.0,1.00599,4.02408,1.006,1.006,86.7,86.7,11530.9,11530.6
1,4,200,True,5000000,5.0,5.03007,20.1205,5.03,5.03,433.6,433.6,2306.1,2306.1
1,4,200,True,9000000,9.0,9.05415,36.2172,9.054,9.054,780.5,780.5,1281.2,1281.2
1,4,200,True,13000000,13.0,13.0783,52.3125,13.078,13.078,1127.4,1127.4,887.0,887.0
1,4,200,True,17000000,17.0,17.1025,68.4099,17.102,17.102,1474.4,1474.4,678.3,678.3
