nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,1,0.0,122.109
0,5,200,0,0.0,108.746
1,4,200,1,27.0522,95.0733
1,4,200,0,24.3564,84.1519
2,3,200,1,56.5668,65.6767
2,3,200,0,50.7001,59.8946
3,2,200,1,83.349,39.1198
3,2,200,0,78.6235,36.1659
4,1,200,1,106.105,16.6543
4,1,200,0,104.477,16.3505
5,0,200,1,123.079,0.0
5,0,200,0,127.943,0.0
0,10,200,1,0.0,122.382
0,10,200,0,0.0,100.18
2,8,200,1,35.2878,87.1319
2,8,200,0,29.115,71.3188
4,6,200,1,70.3771,52.3355
4,6,200,0,60.0439,44.657
6,4,200,1,97.7308,25.3536
6,4,200,0,88.7934,23.5593
8,2,200,1,115.251,8.19961
8,2,200,0,112.3,8.49949
10,0,200,1,123.788,0.0
10,0,200,0,128.727,0.0
0,20,200,1,0.0,121.811
0,20,200,0,0.0,90.9182
4,16,200,1,47.549,74.3462
4,16,200,0,34.8676,56.2662
8,12,200,1,86.5282,35.8488
8,12,200,0,70.6101,28.7975
12,8,200,1,109.35,13.6294
12,8,200,0,98.7785,12.2693
16,4,200,1,119.349,4.06538
16,4,200,0,116.737,4.08904
20,0,200,1,123.677,0.0
20,0,200,0,128.588,0.0
0,40,200,1,0.0,121.47
0,40,200,0,0.0,81.3339
8,32,200,1,59.1968,62.2869
8,32,200,0,40.3372,40.6174
16,24,200,1,98.6485,23.6591
16,24,200,0,72.754,18.0202
24,16,200,1,114.358,8.71939
24,16,200,0,98.5684,7.32907
32,8,200,1,121.372,2.23304
32,8,200,0,117.668,2.26616
40,0,200,1,123.889,0.0
40,0,200,0,128.801,0.0
