nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.109
0,5,200,False,0.0,108.746
1,4,200,True,21.2712,100.814
1,4,200,False,18.6193,90.4936
2,3,200,True,44.9744,77.1983
2,3,200,False,41.2359,69.6549
3,2,200,True,71.0483,51.2701
3,2,200,False,67.4627,46.9258
4,1,200,True,98.6815,23.856
4,1,200,False,96.9937,22.8329
5,0,200,True,122.817,0.0
5,0,200,False,127.69,0.0
0,10,200,True,0.0,122.382
0,10,200,False,0.0,100.18
2,8,200,True,22.9725,99.4216
2,8,200,False,19.1368,81.7384
4,6,200,True,49.4483,73.065
4,6,200,False,41.8427,61.4773
6,4,200,True,77.0881,45.6793
6,4,200,False,68.1952,40.3962
8,2,200,True,103.996,19.1305
8,2,200,False,98.1124,18.944
10,0,200,True,123.586,0.0
10,0,200,False,128.481,0.0
0,20,200,True,0.0,121.811
0,20,200,False,0.0,90.9182
4,16,200,True,23.349,98.5291
4,16,200,False,17.2617,74.3137
8,12,200,True,49.8444,72.1775
8,12,200,False,37.9887,56.4679
12,8,200,True,78.9135,43.4621
12,8,200,False,66.5135,35.3974
16,4,200,True,105.117,17.7964
16,4,200,False,95.7496,17.2613
20,0,200,True,123.455,0.0
20,0,200,False,128.355,0.0
0,40,200,True,0.0,121.47
0,40,200,False,0.0,81.3339
8,32,200,True,19.874,101.644
8,32,200,False,12.8656,69.1309
16,24,200,True,43.2734,78.3956
16,24,200,False,30.2485,53.9407
24,16,200,True,72.2894,49.7341
24,16,200,False,51.3506,38.1165
32,8,200,True,100.157,22.5743
32,8,200,False,84.7171,19.3764
40,0,200,True,123.669,0.0
40,0,200,False,128.58,0.0
