nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
1,1,200,True,54.0965,67.4944
1,1,200,False,53.6055,66.7756
1,3,200,True,25.684,96.3891
1,3,200,False,24.2122,88.1399
3,1,200,True,89.0609,33.3023
3,1,200,False,87.4537,32.1377
1,7,200,True,13.4561,108.62
1,7,200,False,11.4039,91.3963
7,1,200,True,111.135,11.7325
7,1,200,False,109.6,11.7807
1,15,200,True,7.16117,114.732
1,15,200,False,5.39168,88.8063
15,1,200,True,118.4,4.82934
15,1,200,False,118.78,4.72322
1,23,200,True,4.46789,117.289
1,23,200,False,3.27893,85.281
23,1,200,True,119.978,3.40259
23,1,200,False,121.087,3.35627
