nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,18.3335,103.713
1,4,200,False,16.1363,93.2311
2,3,200,True,38.3236,83.7121
2,3,200,False,36.3216,74.7216
3,2,200,True,60.5101,61.4108
3,2,200,False,60.6906,53.3578
4,1,200,True,86.7489,34.9573
4,1,200,False,91.6601,27.6021
5,0,200,True,122.731,0.0
5,0,200,False,127.551,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,19.7958,102.583
2,8,200,False,16.8129,84.2947
4,6,200,True,40.3858,81.9778
4,6,200,False,36.4827,66.6018
6,4,200,True,63.94,58.344
6,4,200,False,61.601,46.4166
8,2,200,True,89.9902,32.1643
8,2,200,False,93.4997,22.6876
10,0,200,True,123.374,0.0
10,0,200,False,128.442,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,19.7669,102.085
4,16,200,False,15.4076,76.6059
8,12,200,True,42.253,79.6066
8,12,200,False,34.6783,59.5792
12,8,200,True,66.3465,55.473
12,8,200,False,59.2858,41.1203
16,4,200,True,92.4977,29.2784
16,4,200,False,92.3346,19.7504
20,0,200,True,121.654,0.0
20,0,200,False,128.316,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,16.7646,104.802
8,32,200,False,11.2887,71.0793
16,24,200,True,37.9373,83.6549
16,24,200,False,27.0245,57.4822
24,16,200,True,63.4804,58.1461
24,16,200,False,48.7498,41.3071
32,8,200,True,90.6271,30.9925
32,8,200,False,83.2798,21.0203
40,0,200,True,121.6,0.0
40,0,200,False,128.581,0.0
