nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,27.805,94.2868
1,4,200,False,25.2816,83.1452
2,3,200,True,52.1463,69.9066
2,3,200,False,51.3756,59.1997
3,2,200,True,74.8699,47.046
3,2,200,False,78.6395,36.5686
4,1,200,True,97.2051,24.5843
4,1,200,False,103.742,17.4707
5,0,200,True,123.079,0.0
5,0,200,False,127.988,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,30.0088,92.3497
2,8,200,False,25.6774,75.0637
4,6,200,True,55.7639,66.519
4,6,200,False,51.9561,51.4108
6,4,200,True,79.0477,43.1274
6,4,200,False,78.8555,31.1122
8,2,200,True,101.27,20.8366
8,2,200,False,106.083,12.5412
10,0,200,True,123.663,0.0
10,0,200,False,128.562,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,29.9946,91.8018
4,16,200,False,24.3557,67.1154
8,12,200,True,56.4652,65.2775
8,12,200,False,48.5264,46.4524
12,8,200,True,80.1025,41.5872
12,8,200,False,75.8612,27.0552
16,4,200,True,100.826,20.8019
16,4,200,False,101.669,12.7317
20,0,200,True,121.546,0.0
20,0,200,False,128.425,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,25.2568,96.2256
8,32,200,False,16.4309,64.6848
16,24,200,True,49.3719,72.1029
16,24,200,False,34.9668,48.3054
24,16,200,True,73.2266,48.2297
24,16,200,False,57.6806,31.518
32,8,200,True,98.1923,23.2189
32,8,200,False,89.4623,15.8259
40,0,200,True,121.435,0.0
40,0,200,False,128.595,0.0
