nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,22.0108,100.064
1,4,200,False,20.0361,88.8015
2,3,200,True,44.4693,77.5887
2,3,200,False,43.3653,67.6484
3,2,200,True,66.8737,55.0515
3,2,200,False,69.9066,44.6568
4,1,200,True,91.436,30.2936
4,1,200,False,97.1582,22.8807
5,0,200,True,122.905,0.0
5,0,200,False,127.807,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,27.0714,95.2841
2,8,200,False,23.2867,77.1033
4,6,200,True,53.05,69.2405
4,6,200,False,50.7495,52.9843
6,4,200,True,76.4953,45.7155
6,4,200,False,79.0817,30.8033
8,2,200,True,99.8058,22.2787
8,2,200,False,106.33,12.643
10,0,200,True,123.707,0.0
10,0,200,False,128.629,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,35.4538,86.2989
4,16,200,False,28.8943,62.4208
8,12,200,True,65.3074,56.3739
8,12,200,False,60.1445,36.526
12,8,200,True,89.1811,32.3456
12,8,200,False,89.9364,17.7896
16,4,200,True,107.836,13.5423
16,4,200,False,113.369,6.04214
20,0,200,True,121.271,0.0
20,0,200,False,128.55,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,45.3671,75.9211
8,32,200,False,33.6453,47.248
16,24,200,True,77.8877,43.1714
16,24,200,False,65.4955,23.3881
24,16,200,True,99.4551,21.2713
24,16,200,False,94.614,10.049
32,8,200,True,111.719,8.66201
32,8,200,False,115.381,3.32238
40,0,200,True,120.04,0.0
40,0,200,False,128.803,0.0
