nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.074
0,5,200,False,0.0,108.922
1,4,200,True,21.6585,100.432
1,4,200,False,19.3334,89.6233
2,3,200,True,44.1162,77.9218
2,3,200,False,42.2315,68.7311
3,2,200,True,67.6399,54.2649
3,2,200,False,68.8278,45.8653
4,1,200,True,91.445,30.3086
4,1,200,False,97.5802,22.5171
5,0,200,True,122.904,0.0
5,0,200,False,127.807,0.0
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.17
2,8,200,True,23.4686,98.8928
2,8,200,False,19.1693,81.2419
4,6,200,True,46.6804,75.6599
4,6,200,False,43.566,59.9649
6,4,200,True,70.3921,51.8725
6,4,200,False,71.2219,37.5246
8,2,200,True,95.3869,26.7387
8,2,200,False,100.681,16.9421
10,0,200,True,123.589,0.0
10,0,200,False,128.455,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.0451
4,16,200,True,24.5437,97.2852
4,16,200,False,18.9524,72.6074
8,12,200,True,48.685,73.1446
8,12,200,False,40.9807,53.663
12,8,200,True,72.349,49.4138
12,8,200,False,66.6622,34.9192
16,4,200,True,96.6529,25.0726
16,4,200,False,96.2354,16.7505
20,0,200,True,121.647,0.0
20,0,200,False,128.345,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.3753
8,32,200,True,20.2815,101.239
8,32,200,False,14.5739,67.5088
16,24,200,True,43.7133,77.8386
16,24,200,False,30.1692,53.8079
24,16,200,True,67.0583,54.5069
24,16,200,False,55.03,35.3685
32,8,200,True,93.675,27.8652
32,8,200,False,88.2098,17.1475
40,0,200,True,121.554,0.0
40,0,200,False,128.583,0.0
