nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
5,0,200,True,122.558,0.0
5,0,200,False,127.445,0.0
4,1,200,True,82.7585,38.9349
4,1,200,False,74.387,34.013
3,2,200,True,55.6779,66.2015
3,2,200,False,50.3714,60.176
2,3,200,True,33.3615,88.6486
2,3,200,False,29.9784,80.8386
1,4,200,True,15.0298,107.021
1,4,200,False,13.7452,96.3364
0,5,200,True,0.0,122.074
0,5,200,False,0.0,109.065
0,10,200,True,0.0,122.39
0,10,200,False,0.0,100.586
2,8,200,True,12.1076,110.297
2,8,200,False,9.77224,92.207
4,6,200,True,29.6917,92.6761
4,6,200,False,23.9415,79.1503
6,4,200,True,50.5981,71.7838
6,4,200,False,43.6079,60.0118
8,2,200,True,81.5203,40.7471
8,2,200,False,67.5593,34.9009
10,0,200,True,123.104,0.0
10,0,200,False,128.19,0.0
0,20,200,True,0.0,121.824
0,20,200,False,0.0,91.5382
4,16,200,True,4.5217,117.387
4,16,200,False,3.1383,90.5713
8,12,200,True,18.1677,103.802
8,12,200,False,14.0245,81.7935
12,8,200,True,40.8736,81.1262
12,8,200,False,31.8906,65.7967
16,4,200,True,75.0106,46.9924
16,4,200,False,59.5894,38.2726
20,0,200,True,122.156,0.0
20,0,200,False,111.666,0.0
0,40,200,True,0.0,121.495
0,40,200,False,0.0,81.5915
8,32,200,True,0.124324,121.525
8,32,200,False,0.138846,84.6652
16,24,200,True,0.619227,121.225
16,24,200,False,0.515713,88.5563
24,16,200,True,13.4676,108.528
24,16,200,False,10.1782,82.4385
32,8,200,True,57.6264,64.401
32,8,200,False,42.0356,52.8219
40,0,200,True,122.028,0.0
40,0,200,False,94.6896,0.0
