nDbWifi,nEbWifi,nVoWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB,throughputSTA_VO
0,5,1,100,1,0.0,120.567,0.256
0,5,1,100,0,0.0,106.419,0.256
1,4,1,100,1,23.6396,96.9162,0.256
1,4,1,100,0,20.1179,86.7726,0.256
2,3,1,100,1,48.1558,72.4963,0.256
2,3,1,100,0,44.1187,64.5171,0.256
3,2,1,100,1,75.8863,44.9347,0.256
3,2,1,100,0,68.8736,42.885,0.256
4,1,1,100,1,100.935,20.1112,0.256
4,1,1,100,0,98.4636,19.1367,0.256
5,0,1,100,1,121.341,0.0,0.256
5,0,1,100,0,125.301,0.0,0.256
0,10,1,100,1,0.0,120.486,0.256
0,10,1,100,0,0.0,98.0442,0.256
2,8,1,100,1,25.6208,94.8751,0.256
2,8,1,100,0,20.3453,77.9229,0.256
4,6,1,100,1,53.8755,66.7605,0.256
4,6,1,100,0,44.7233,56.0151,0.256
6,4,1,100,1,79.421,41.4862,0.256
6,4,1,100,0,68.9835,35.9996,0.256
8,2,1,100,1,105.188,16.0656,0.256
8,2,1,100,0,97.5379,16.027,0.256
10,0,1,100,1,121.656,0.0,0.256
10,0,1,100,0,125.133,0.0,0.25579
0,20,1,100,1,0.0,120.211,0.256
0,20,1,100,0,0.0,88.6454,0.256
4,16,1,100,1,28.3415,91.91,0.255749
4,16,1,100,0,18.2084,70.8419,0.256
8,12,1,100,1,52.5378,67.8293,0.255749
8,12,1,100,0,42.6634,49.8964,0.256
12,8,1,100,1,81.3879,39.3772,0.256
12,8,1,100,0,65.0676,32.7921,0.256
16,4,1,100,1,104.086,17.1689,0.256
16,4,1,100,0,93.1043,15.6987,0.256
20,0,1,100,1,121.789,0.0,0.256
20,0,1,100,0,123.092,0.0,0.255749
0,40,1,100,1,0.0,119.73,0.255587
0,40,1,100,0,0.0,78.8168,0.256
8,32,1,100,1,20.9642,98.8462,0.255587
8,32,1,100,0,14.4274,65.3679,0.256
16,24,1,100,1,46.4876,73.3797,0.256
16,24,1,100,0,30.1854,51.5343,0.255174
24,16,1,100,1,74.3803,45.8802,0.256
24,16,1,100,0,51.9575,34.7581,0.256
32,8,1,100,1,99.7622,21.1865,0.255587
32,8,1,100,0,84.723,16.4705,0.256
40,0,1,100,1,121.811,0.0,0.255587
40,0,1,100,0,122.103,0.0,0.256
