nDbWifi,nEbWifi,nVoWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB,throughputSTA_VO
0,5,1,100,1,0.0,120.51,0.256
0,5,1,100,0,0.0,105.387,0.256
1,4,1,100,1,23.0629,97.4588,0.256
1,4,1,100,0,20.6346,85.3096,0.256
2,3,1,100,1,48.1996,72.4274,0.256
2,3,1,100,0,42.713,65.0129,0.256
3,2,1,100,1,74.8726,45.9147,0.256
3,2,1,100,0,70.4714,40.7033,0.256
4,1,1,100,1,100.068,20.918,0.256
4,1,1,100,0,94.2614,21.2793,0.256
5,0,1,100,1,121.259,0.0,0.256
5,0,1,100,0,122.329,0.0,0.256
0,10,1,100,1,0.0,120.407,0.256
0,10,1,100,0,0.0,97.1578,0.256
2,8,1,100,1,24.7582,95.7034,0.256
2,8,1,100,0,20.4784,76.9723,0.256
4,6,1,100,1,54.2285,66.3457,0.256
4,6,1,100,0,44.077,55.9069,0.256
6,4,1,100,1,79.5477,41.2928,0.256
6,4,1,100,0,67.6542,36.4681,0.256
8,2,1,100,1,102.93,18.2734,0.256
8,2,1,100,0,96.1998,15.8118,0.256
10,0,1,100,1,121.609,0.0,0.256
10,0,1,100,0,123.344,0.0,0.256
0,20,1,100,1,0.0,120.139,0.256
0,20,1,100,0,0.0,88.049,0.256251
4,16,1,100,1,26.1,94.1083,0.256
4,16,1,100,0,18.1379,69.9648,0.256502
8,12,1,100,1,54.1386,66.2285,0.256
8,12,1,100,0,38.8555,51.0314,0.256
12,8,1,100,1,81.5253,39.2053,0.256
12,8,1,100,0,65.3626,31.8113,0.256251
16,4,1,100,1,102.45,18.749,0.256
16,4,1,100,0,91.4009,15.9407,0.256
20,0,1,100,1,121.77,0.0,0.256
20,0,1,100,0,121.37,0.0,0.256
0,40,1,100,1,0.0,119.681,0.256
0,40,1,100,0,0.0,77.9453,0.256
8,32,1,100,1,18.1353,101.646,0.256
8,32,1,100,0,11.85,66.7097,0.256413
16,24,1,100,1,45.2845,74.5618,0.256
16,24,1,100,0,27.388,53.1703,0.256
24,16,1,100,1,72.0906,48.1419,0.256
24,16,1,100,0,47.5499,36.9662,0.256
32,8,1,100,1,102.178,18.7886,0.256
32,8,1,100,0,81.7085,16.1352,0.255174
40,0,1,100,1,121.9,0.0,0.256
40,0,1,100,0,120.244,0.0,0.256826
