nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p50_ms
0,20,200,True,EB,12.767624
0,20,200,False,EB,17.556024
4,16,200,True,DB,30.833666
4,16,200,False,DB,42.996072
4,16,200,True,EB,12.873624
4,16,200,False,EB,17.704036
8,12,200,True,DB,31.012666
8,12,200,False,DB,40.536072
8,12,200,True,EB,13.213327
8,12,200,False,EB,18.046042
12,8,200,True,DB,33.400078
12,8,200,False,DB,40.563066
12,8,200,True,EB,15.63663
12,8,200,False,EB,20.193042
16,4,200,True,DB,38.47809
16,4,200,False,DB,43.225084
16,4,200,True,EB,22.802148
16,4,200,False,EB,23.049551
20,0,200,True,DB,48.554708
20,0,200,False,DB,48.421114
